company_name,industry,country,monthly_subscription,users,churn_risk,last_active_date,support_tickets_last_6_months,nps_score
Campbell PLC,Healthcare,Guatemala,1059.54,294,High,4/8/2025,8,-60
Jones-Ritter,Manufacturing,Finland,2479.24,218,Medium,4/8/2025,6,2
"Rice, Russell and Holland",Technology,Uganda,4528.32,440,High,4/8/2025,6,100
Watson PLC,Healthcare,Djibouti,1804.72,457,High,4/8/2025,5,-64
"Winters, Medina and Ellis",Education,British Indian Ocean Territory (Chagos Archipelago),3591.78,335,Low,4/8/2025,11,1
"Noble, Williams and Floyd",Retail,Mongolia,570.45,470,Medium,4/8/2025,7,-19
Diaz Ltd,Healthcare,Gambia,3064.89,481,Medium,4/8/2025,24,-67
Williams-Obrien,Finance,Christmas Island,2933.34,338,Low,4/8/2025,9,-80
Roberts Inc,Manufacturing,Venezuela,2016.87,61,Low,4/8/2025,25,-92
"Wang, West and Morales",Finance,Papua New Guinea,4135.63,461,Low,4/8/2025,21,53
"Atkinson, Harper and Henderson",Finance,Argentina,3484.81,348,Medium,4/8/2025,17,15
Riley LLC,Manufacturing,Costa Rica,4415.63,189,Medium,4/8/2025,20,88
Johnson LLC,Healthcare,Brunei Darussalam,4380.3,208,Medium,4/8/2025,18,9
"Sullivan, Sanchez and Vincent",Education,Congo,4480.81,202,Medium,4/8/2025,4,5
Rhodes Inc,Technology,Macedonia,1072.74,226,Low,4/8/2025,8,75
Williams LLC,Technology,Central African Republic,1053.53,371,Low,4/8/2025,16,-33
Drake-Hernandez,Manufacturing,Brazil,4500.38,233,High,4/8/2025,3,26
Castro-Harrison,Manufacturing,Syrian Arab Republic,566.31,102,Medium,4/8/2025,20,-45
"Erickson, Johnson and Wang",Technology,Cocos (Keeling) Islands,3435.28,227,Medium,4/8/2025,19,-93
Thompson-Carr,Healthcare,Slovakia (Slovak Republic),100.85,294,Low,4/8/2025,19,49
"Phillips, Silva and Jones",Manufacturing,Barbados,2551.07,302,Medium,4/8/2025,2,40
Martinez-Jenkins,Technology,Panama,2702.33,348,Medium,4/8/2025,21,12
Padilla-Webb,Finance,Mozambique,3110.52,362,Medium,4/8/2025,25,8
"Long, Greene and Sims",Education,Isle of Man,1671.29,144,Medium,4/8/2025,10,93
Dennis-King,Education,Niger,3189.31,432,Medium,4/8/2025,20,-74
"Graham, Moran and Banks",Technology,Vanuatu,4870.94,217,Medium,4/8/2025,17,88
Hayes PLC,Manufacturing,United States Minor Outlying Islands,1286.78,106,Medium,4/8/2025,11,-82
"Taylor, Knight and Smith",Education,Saint Martin,861.8,98,Low,4/8/2025,12,73
Cannon-Harris,Technology,Benin,723.82,68,High,4/8/2025,18,74
Henderson and Sons,Education,Ireland,4990.97,390,Low,4/8/2025,19,21
Pope PLC,Manufacturing,Uruguay,3033.09,432,Low,4/8/2025,15,100
Murphy Ltd,Manufacturing,Martinique,3716.61,300,Low,4/8/2025,21,-49
"Bailey, Vega and Williams",Manufacturing,Guadeloupe,2348.04,491,High,4/8/2025,20,79
Wilkins PLC,Healthcare,Saint Helena,3417.33,227,Medium,4/8/2025,11,97
"Porter, Wilson and Hernandez",Healthcare,Zimbabwe,4460.38,29,High,4/8/2025,24,43
Phillips-Harris,Manufacturing,Saint Martin,3945.71,342,Medium,4/8/2025,5,-33
Hawkins and Sons,Education,Vietnam,4639.89,7,Low,4/8/2025,0,-34
"Gray, Gallagher and Brown",Manufacturing,Switzerland,2732.04,399,Medium,4/8/2025,2,-27
Rodriguez-Davidson,Technology,Chile,297.64,237,Medium,4/8/2025,24,29
"Simmons, Kelly and Mcclain",Retail,Macedonia,3950.66,245,Medium,4/8/2025,19,32
"Russell, Johnson and Lewis",Education,Madagascar,2687.88,217,High,4/8/2025,6,44
"Walker, Grant and Phillips",Retail,Monaco,1237.81,422,Medium,4/8/2025,15,-5
Logan-Clarke,Manufacturing,Guinea-Bissau,4637.52,440,Medium,4/8/2025,24,-1
Bean LLC,Finance,Poland,1413.3,495,Medium,4/8/2025,17,36
"Chan, Brown and Duran",Education,Ethiopia,652.51,55,Low,4/8/2025,15,58
"Clark, Gonzalez and Brown",Technology,Burundi,863.11,467,Medium,4/8/2025,15,-100
"Martin, Wilkerson and Fitzpatrick",Healthcare,Poland,356.21,290,High,4/8/2025,18,-72
Morton PLC,Healthcare,Iceland,4330.62,17,Low,4/8/2025,25,82
"Levine, Brown and Conrad",Technology,Barbados,4327.27,309,Medium,4/8/2025,4,79
Brown and Sons,Technology,Papua New Guinea,4988.04,432,Medium,4/8/2025,21,61
Rocha Ltd,Retail,Singapore,3649.69,491,Low,4/8/2025,25,-12
"Padilla, Brooks and Walker",Finance,Mayotte,3334.65,457,Medium,4/8/2025,5,49
Rodriguez-Hodges,Technology,Botswana,3803.68,410,Low,4/8/2025,6,-19
"Thompson, Nelson and Short",Finance,Burkina Faso,125.79,189,Medium,4/8/2025,23,-86
Johnson and Sons,Manufacturing,Turks and Caicos Islands,3628.24,431,High,4/8/2025,14,1
Hooper-Stanton,Healthcare,Dominica,2065.55,121,Medium,4/8/2025,8,15
"Carlson, Adams and Green",Healthcare,Zimbabwe,3123.89,115,High,4/8/2025,18,-71
"Thomas, Matthews and Copeland",Finance,Samoa,4997.28,277,High,4/8/2025,9,-88
"Ryan, Henderson and Swanson",Technology,Germany,2301,479,Medium,4/8/2025,2,8
"Chung, Harper and Simmons",Retail,Australia,610.09,121,High,4/8/2025,22,97
Martinez-Williams,Education,Sudan,459.24,490,High,4/8/2025,9,-8
Smith PLC,Finance,American Samoa,326.88,458,Low,4/8/2025,2,6
Walker Ltd,Education,Timor-Leste,4711.95,499,High,4/8/2025,16,-31
Ramirez-Lutz,Technology,Samoa,664.66,333,Medium,4/8/2025,10,0
Barnett PLC,Education,Luxembourg,3008.36,345,Medium,4/8/2025,18,-62
Pena Inc,Education,Cote d'Ivoire,4698.63,478,Medium,4/8/2025,25,95
Patel Group,Technology,Burundi,1838.5,131,High,4/8/2025,22,39
"Green, Turner and Anderson",Healthcare,Bulgaria,1665.08,168,Low,4/8/2025,5,-12
Ward and Sons,Finance,Guinea,3629.72,320,High,4/8/2025,15,-24
Cline-Myers,Finance,Angola,3495.34,76,High,4/8/2025,22,-30
"Bradley, Carter and Hayes",Healthcare,Norfolk Island,2999.93,492,High,4/8/2025,9,75
Roberson-Colon,Healthcare,Greenland,2062.83,114,High,4/8/2025,3,-24
"Larson, Parker and Kim",Education,Mozambique,3644.88,446,Low,4/8/2025,22,79
"Stone, Jones and Kirk",Education,Paraguay,3718.05,357,High,4/8/2025,6,26
"Thomas, Krause and Savage",Healthcare,Saint Vincent and the Grenadines,1301.29,33,Low,4/8/2025,6,93
Tucker-Beck,Technology,Lesotho,4842.62,287,Medium,4/8/2025,2,-52
Ortiz Inc,Technology,Jamaica,488.84,358,Medium,4/8/2025,16,87
"Johnson, Norton and Wood",Finance,Barbados,3354.82,98,Low,4/8/2025,5,-60
Moon-Richard,Technology,Cyprus,577.66,254,Medium,4/8/2025,18,-26
"Stewart, Shaffer and Walker",Retail,Hong Kong,4511.03,137,Low,4/8/2025,1,39
Pennington LLC,Manufacturing,Switzerland,578.04,147,High,4/8/2025,22,38
Lee Inc,Retail,Gibraltar,1691.68,184,High,4/8/2025,25,10
Wilkerson PLC,Healthcare,Ukraine,1946.24,454,High,4/8/2025,8,50
Larsen-Fischer,Manufacturing,Honduras,4654.39,326,Low,4/8/2025,10,74
Miller and Sons,Manufacturing,Equatorial Guinea,1091.7,405,Medium,4/8/2025,19,53
Williams-Morales,Retail,Estonia,3918.95,421,Low,4/8/2025,16,19
Boyle-James,Manufacturing,Somalia,1712.52,397,High,4/8/2025,8,52
"Harrison, Cooper and Evans",Manufacturing,Chad,3484.67,451,Low,4/8/2025,25,20
Anderson Inc,Technology,Brazil,2829.83,222,High,4/8/2025,16,-37
Sellers-Ford,Education,Czech Republic,200.87,313,Medium,4/8/2025,7,80
Stephenson Inc,Education,Nicaragua,921.06,364,Medium,4/8/2025,17,19
Jennings LLC,Finance,Guyana,3808.98,63,Medium,4/8/2025,22,-27
Torres-Pierce,Education,Somalia,1481.29,158,Low,4/8/2025,18,-14
Esparza Ltd,Education,British Virgin Islands,1129.96,12,Low,4/8/2025,4,-10
Benson-Boyd,Manufacturing,Gibraltar,3147,57,High,4/8/2025,7,23
Carrillo-Horne,Technology,Moldova,4662.66,458,High,4/8/2025,18,-66
"Mendez, Neal and Franco",Education,Sierra Leone,4816.23,463,Medium,4/8/2025,0,71
"Taylor, Chavez and Richards",Technology,Kyrgyz Republic,4415.68,474,Medium,4/8/2025,16,61
Roth PLC,Finance,Vanuatu,4712.65,360,Medium,4/8/2025,0,32
"Jackson, Mason and Sullivan",Technology,Nepal,417.11,454,Medium,4/8/2025,12,-10
Wang-Koch,Retail,Cyprus,125.38,32,Medium,4/8/2025,19,23
"Tucker, Moore and Wilson",Finance,Brazil,4401.12,427,Low,4/8/2025,7,-12
Schmidt-Davidson,Technology,Seychelles,4591.12,375,Medium,4/8/2025,1,-65
Cole-Bailey,Education,Australia,3360.04,473,High,4/8/2025,25,-96
Deleon-Turner,Technology,Saudi Arabia,3464.23,195,High,4/8/2025,22,-69
Thomas-Cole,Technology,Slovenia,3802.09,143,High,4/8/2025,23,69
Jordan and Sons,Technology,Qatar,553.37,460,Medium,4/8/2025,17,33
Nguyen-Sparks,Finance,Iran,4642.5,151,Medium,4/8/2025,17,-2
Smith-Anderson,Manufacturing,Hungary,3224.59,17,Low,4/8/2025,25,-15
Davis LLC,Finance,Jordan,4390.93,453,High,4/8/2025,4,-98
Fletcher Ltd,Technology,Puerto Rico,3726.07,258,Medium,4/8/2025,18,-66
"Armstrong, Barnett and Hodge",Technology,South Georgia and the South Sandwich Islands,324.81,369,Low,4/8/2025,16,23
"Carney, James and Buchanan",Technology,Anguilla,4616.15,272,Medium,4/8/2025,24,-92
Martinez LLC,Finance,Bermuda,868.45,205,High,4/8/2025,24,-79
"Hill, Baker and Wilson",Education,Kuwait,2155.77,94,Medium,4/8/2025,3,16
"Perez, Evans and Carter",Finance,Zambia,542.39,171,Low,4/8/2025,17,95
"Heath, Whitaker and Garcia",Finance,Libyan Arab Jamahiriya,655.72,500,High,4/8/2025,0,68
King-Ferguson,Education,Czech Republic,3599.43,58,Low,4/8/2025,25,73
Lam Ltd,Retail,Guyana,1622.07,183,Medium,4/8/2025,21,2
French-Coleman,Finance,France,1927.94,140,Low,4/8/2025,21,-66
Kelly and Sons,Manufacturing,Seychelles,4154.07,404,High,4/8/2025,19,43
Conway-Young,Healthcare,Montenegro,177.03,102,Low,4/8/2025,24,-3
Gilbert PLC,Healthcare,Mexico,1188.77,188,Low,4/8/2025,17,-98
Webster-Norton,Finance,Taiwan,1572.37,321,Low,4/8/2025,13,96
Anderson-Brown,Manufacturing,Cuba,1221.13,324,High,4/8/2025,4,78
Torres Inc,Technology,Heard Island and McDonald Islands,3023.37,159,High,4/8/2025,8,56
Ray Ltd,Healthcare,Iceland,1783.51,328,Medium,4/8/2025,1,-75
Hernandez-Ritter,Technology,Singapore,2285.22,130,Medium,4/8/2025,14,-76
"Robinson, Odonnell and Moore",Finance,Iraq,3339.69,93,Medium,4/8/2025,1,24
"Mayer, Brown and Schultz",Finance,Slovenia,4776,217,High,4/8/2025,14,-20
White Group,Healthcare,French Southern Territories,3146.45,400,Low,4/8/2025,25,-59
Green Inc,Manufacturing,Slovenia,689.27,369,Medium,4/8/2025,3,21
Adams-Harper,Retail,Papua New Guinea,4013.38,489,Medium,4/8/2025,24,17
Moore Group,Manufacturing,Venezuela,2757.52,196,Low,4/8/2025,5,-17
"Brown, Riley and Williams",Finance,Bolivia,3270.42,211,Low,4/8/2025,21,7
"Joyce, Haney and Rivera",Education,Russian Federation,476.19,184,Medium,4/8/2025,21,-13
Cuevas and Sons,Finance,South Africa,4656.01,426,Medium,4/8/2025,6,32
Nguyen-Adkins,Manufacturing,Mayotte,3461.22,401,High,4/8/2025,6,79
"Morgan, Webb and Barnes",Healthcare,Marshall Islands,318.88,386,Low,4/8/2025,12,76
Morales Inc,Retail,Bhutan,4269.18,98,Medium,4/8/2025,25,-17
Jones-Thomas,Manufacturing,Iceland,137.12,114,Medium,4/8/2025,1,47
"Nelson, Williams and Snyder",Retail,Myanmar,3373.71,276,High,4/8/2025,10,-38
Collins-Washington,Technology,Bahamas,3281.06,81,Medium,4/8/2025,15,-95
Davis-James,Finance,Cape Verde,370.25,106,Low,4/8/2025,10,-98
"Crawford, Wise and York",Healthcare,Chad,2285.88,414,Medium,4/8/2025,10,17
Armstrong-Walker,Retail,Suriname,1756.49,482,Low,4/8/2025,18,-78
Jones LLC,Retail,Uruguay,1921.56,251,Medium,4/8/2025,4,-43
Church-Richardson,Finance,San Marino,2670.52,177,Low,4/8/2025,6,-18
"Rose, Davis and Jackson",Retail,Panama,957.22,403,Low,4/8/2025,21,-7
"Best, Reid and Bush",Retail,Somalia,1354.22,232,Low,4/8/2025,6,99
"Floyd, Mcpherson and Page",Education,Iran,1167.06,459,Low,4/8/2025,2,-69
Cooper-Russell,Technology,Italy,1583.68,407,High,4/8/2025,12,-15
Bruce-Johnson,Finance,Thailand,2475.71,177,Low,4/8/2025,2,54
"Vega, Williams and Mitchell",Education,Kuwait,4317.38,437,Low,4/8/2025,24,-97
Mcclure Inc,Healthcare,Djibouti,3445.01,351,Low,4/8/2025,11,34
"Dickson, Garcia and Stuart",Education,Jamaica,1237.01,359,Low,4/8/2025,9,-86
Rodriguez LLC,Finance,Mexico,4175.98,398,Low,4/8/2025,15,24
Gutierrez Ltd,Retail,Reunion,1897.03,183,Low,4/8/2025,4,-9
Medina-White,Technology,Mongolia,3979.15,420,Low,4/8/2025,22,31
"Martin, Lopez and Barrett",Retail,Belarus,4213.16,151,Low,4/8/2025,13,70
"Cooper, Ruiz and Porter",Education,Maldives,3929.49,199,High,4/8/2025,6,-8
Richards-Soto,Manufacturing,Germany,2388.6,421,High,4/8/2025,24,5
"Brown, Jones and Martinez",Finance,Kazakhstan,1658.57,355,Low,4/8/2025,5,7
Cisneros Inc,Technology,Swaziland,3667.09,444,Low,4/8/2025,15,48
Gutierrez PLC,Retail,Cambodia,3943.25,343,Low,4/8/2025,21,46
Wagner-Dalton,Retail,French Polynesia,2970.99,273,Low,4/8/2025,15,-4
Herrera Inc,Education,Estonia,3031.74,12,Medium,4/8/2025,17,-38
Duncan Group,Retail,Cambodia,1075.54,453,Medium,4/8/2025,10,-11
Mitchell-Peterson,Healthcare,Mali,2049.48,154,Low,4/8/2025,23,87
Torres LLC,Finance,Saint Lucia,2819.03,417,Low,4/8/2025,14,-14
Collier Inc,Technology,Norfolk Island,834.65,290,Low,4/8/2025,8,63
Schmitt Inc,Manufacturing,Myanmar,382.93,290,Low,4/8/2025,3,-7
Walker Inc,Healthcare,Armenia,2617.44,44,Low,4/8/2025,23,-1
"Dawson, Arroyo and Lewis",Education,Saint Vincent and the Grenadines,705.9,346,Medium,4/8/2025,0,13
Chapman Group,Finance,Christmas Island,196.57,453,Low,4/8/2025,18,-42
"Shaw, Fischer and Mullen",Manufacturing,Denmark,436.27,182,Medium,4/8/2025,4,94
Stevens-Rogers,Technology,India,3062.28,221,Low,4/8/2025,13,-67
Houston-Hughes,Retail,Morocco,4041.57,102,Medium,4/8/2025,22,-39
